loan_type,loan_purpose,business_or_commercial,loan_amount,rate_of_interest,term,income,age,Status
Personal Loan,Home Purchase,Personal,116500,3.99,360.0,1740.0,25-34,1
Business Loan,Home Purchase,Business,206500,3.99,360.0,4980.0,55-64,1
Personal Loan,Home Purchase,Personal,406500,4.56,360.0,9480.0,35-44,0
Personal Loan,Other,Personal,456500,4.25,360.0,11880.0,45-54,0
Personal Loan,Home Purchase,Personal,696500,4.0,360.0,10440.0,25-34,0
Personal Loan,Home Purchase,Personal,706500,3.99,360.0,10080.0,35-44,0
Personal Loan,Business Expansion,Personal,346500,4.5,360.0,5040.0,55-64,0
Personal Loan,Other,Personal,266500,4.125,360.0,3780.0,55-64,0
Personal Loan,Business Expansion,Personal,376500,4.875,360.0,5580.0,55-64,0
Mortgage Loan,Business Expansion,Personal,436500,3.49,360.0,6720.0,55-64,0
Business Loan,Business Expansion,Business,136500,3.99,300.0,4020.0,55-64,1
Personal Loan,Business Expansion,Personal,466500,4.375,360.0,9540.0,35-44,0
Business Loan,Business Expansion,Business,206500,3.99,360.0,3780.0,65-74,1
Business Loan,Other,Business,436500,3.625,360.0,5760.0,55-64,0
Personal Loan,Other,Personal,226500,4.5,360.0,7860.0,35-44,0
Personal Loan,Other,Personal,76500,3.99,360.0,2220.0,45-54,1
Business Loan,Home Purchase,Business,356500,3.99,360.0,5340.0,25-34,1
Personal Loan,Business Expansion,Personal,156500,3.99,360.0,3120.0,65-74,1
Personal Loan,Home Purchase,Personal,406500,4.56,360.0,5340.0,45-54,0
Personal Loan,Other,Personal,586500,3.175,360.0,12540.0,55-64,0
Personal Loan,Business Expansion,Personal,306500,2.99,180.0,16860.0,65-74,0
Personal Loan,Business Expansion,Personal,136500,3.99,360.0,2100.0,>74,0
Personal Loan,Business Expansion,Personal,306500,3.99,360.0,2880.0,55-64,1
Personal Loan,Business Expansion,Personal,316500,3.625,360.0,2760.0,65-74,0
Personal Loan,Business Expansion,Personal,336500,4.5,360.0,4980.0,35-44,0
Personal Loan,Business Expansion,Personal,426500,4.99,360.0,8940.0,45-54,0
Mortgage Loan,Home Purchase,Personal,476500,3.99,360.0,6780.0,45-54,1
Personal Loan,Other,Personal,196500,5.25,360.0,3840.0,25-34,0
Personal Loan,Home Purchase,Personal,186500,4.25,360.0,3840.0,55-64,0
Personal Loan,Home Purchase,Personal,436500,3.625,360.0,4920.0,35-44,0
Business Loan,Home Purchase,Business,246500,4.25,360.0,5400.0,25-34,0
Mortgage Loan,Other,Personal,216500,2.99,360.0,5760.0,55-64,0
Personal Loan,Home Purchase,Personal,306500,4.125,360.0,5580.0,35-44,0
Personal Loan,Home Purchase,Personal,316500,3.75,360.0,3720.0,45-54,0
Personal Loan,Home Purchase,Personal,506500,4.25,360.0,7500.0,25-34,0
Personal Loan,Business Expansion,Personal,266500,4.99,360.0,3540.0,45-54,0
Personal Loan,Home Purchase,Personal,406500,4.0,360.0,9180.0,55-64,0
Personal Loan,Other,Personal,656500,3.375,360.0,9660.0,45-54,0
Personal Loan,Other,Personal,256500,3.99,180.0,3780.0,65-74,1
Personal Loan,Other,Personal,396500,3.99,360.0,7560.0,35-44,1
Personal Loan,Business Expansion,Personal,396500,4.99,360.0,9060.0,35-44,0
Business Loan,Business Expansion,Business,166500,3.99,360.0,3480.0,35-44,0
Mortgage Loan,Other,Personal,466500,3.99,360.0,0.0,45-54,1
